2025-03-24 23:08:59,Sneegsnag,1118,Minecraft,"['English', 'ADHD', 'farts', 'mcc', 'mcyt', 'minecraft', 'moddedminecraft', 'therealm', 'ViewerRewards']"
2025-03-24 23:09:07,PewDiePie,751,Minecraft,"['Minecraft', 'YouTube', 'AlwaysOn', 'English', 'ViewerRewards', 'Rerun']"
2025-03-24 23:09:18,MRLUST,484,Fortnite,"['xqc', 'kaicenat', 'ASMR', 'English', 'Fortnite', 'KingsLeague', 'Asmongold', 'valorant', 'minecraft', 'dota2']"
2025-03-24 23:10:01,jmoonhead,187,Just Chatting,"['English', 'Football', 'funny', 'pro', 'minecraft', 'WWE']"
2025-03-24 23:10:15,EnterAi94,152,Among Us,"['simulation', 'gaming', 'football', 'career', 'chatting', 'Gym', 'Friends', 'Chatting', 'minecraft', 'justchatting']"
2025-03-24 23:10:19,JaayMC,147,Minecraft,"['Survival', 'LGBTQ', 'SafeSpace', 'Cape', 'Drops', 'PlayingWithViewers', 'Chill', 'SMP', 'subathon', 'Minecraft']"
2025-03-24 23:10:54,infume,107,Minecraft,"['English', 'minecraft', 'Speedrun', 'ViewerRewards']"
2025-03-24 23:11:10,EZ_CLAPS09,94,Minecraft,"['chill', 'LOUD', 'PlayingwithViewers', 'English', 'minecraft', 'FamilyFriendly', 'underratedstreamer', 'Interactive', 'justchatting', 'DropsEnabled']"
2025-03-24 23:11:33,TheMCDoer,77,Minecraft,"['minecraft', 'gaming', 'europe', 'english', 'chill', 'sleeping', 'newstreamer', 'English', 'ViewerRewards']"
2025-03-24 23:11:45,Gabe_VA,70,Marbles on Stream,"['English', 'justchatting', 'lgbtq', 'Vtuber', 'minecraft']"
2025-03-24 23:11:49,xShatter,68,Minecraft,"['shatter', 'xshatter', 'minecraft', 'Ally', 'English', 'Speedrun', 'Ranked', 'PvP', 'Hoplite', 'ViewerRewards']"
2025-03-24 23:11:58,RCJUK,64,Minecraft,"['British', 'Stardew', 'ChallengeRun', 'cozy', 'English', 'cosy', 'relaxing', 'stardewvalley', 'chilled', 'minecraft']"
